StationName,State,Longitude,Latitudes,StationCodes
Howrah,West Bengal,22.5829, 88.3428, HWH 
Sealdah,West Bengal,22.568, 88.3711,SDAH
New Jalpaiguri,West Bengal,26.6825, 88.443889,NJP
Barddhaman, West Bengal,23.250041, 87.869995,BWN
Asansol, West Bengal,23.69131, 86.974792,ASN
Chittaranjan, West Bengal,23.856667, 86.878889,CRJ
Patna, Bihar,25.602778, 85.1375,PNBE
Chandannagar, West Bengal,22.867061, 88.35395,CGR
Kalyani,West Bengal,22.968963, 88.467575,KYI
Pundooah,West Bengal,23.070651, 88.26968,PDA
Dhanbad,Jharkhand,23.7922, 86.4283,DHN
Kalka, Himachal Pradesh,30.8383, 76.9319,KLK
Shrirampur,West Bengal,22.75412, 88.338588,SRP
Belur,West Bengal,22.635719, 88.339814,BEQ
Krishnanagar City,West Bengal,23.388301, 88.493553,KNJ
Naihati,West Bengal,22.887602, 88.418096,NH
Mumbai Central,Maharashtra,18.9697, 72.8194,MMCT
New Delhi,Delhi,28.6417, 77.2207,NDLS